,id,name,artist,playlist id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
15,18YB1U2346cnPCBAbmga8h,What More Can I Say,NxWorries,søndag,0.455,0.524,9,-5.691,0,0.147,0.147,0.0,0.161,0.584,74.885,audio_features,spotify:track:18YB1U2346cnPCBAbmga8h,https://api.spotify.com/v1/tracks/18YB1U2346cnPCBAbmga8h,https://api.spotify.com/v1/audio-analysis/18YB1U2346cnPCBAbmga8h,156133,4
16,1Vc5DCIMM4RDDhyMGOrsFx,Pass The Hours,MorMor,søndag,0.778,0.639,6,-5.985,0,0.0292,0.179,0.000934,0.322,0.543,119.977,audio_features,spotify:track:1Vc5DCIMM4RDDhyMGOrsFx,https://api.spotify.com/v1/tracks/1Vc5DCIMM4RDDhyMGOrsFx,https://api.spotify.com/v1/audio-analysis/1Vc5DCIMM4RDDhyMGOrsFx,223440,4
17,4xskW9IiPAhklhclZfU5Am,Heaven's Only Wishful - Extended Version,MorMor,søndag,0.811,0.424,4,-6.798,0,0.0321,0.00457,0.4,0.0802,0.831,99.992,audio_features,spotify:track:4xskW9IiPAhklhclZfU5Am,https://api.spotify.com/v1/tracks/4xskW9IiPAhklhclZfU5Am,https://api.spotify.com/v1/audio-analysis/4xskW9IiPAhklhclZfU5Am,321764,4
18,5B0gYfKD10F24kzbAEhgEs,Nothing But You (feat. Donnie Sloan & Ricky Ducati),Devault,søndag,0.603,0.632,6,-9.499,1,0.0408,0.46,0.000218,0.0982,0.27,110.998,audio_features,spotify:track:5B0gYfKD10F24kzbAEhgEs,https://api.spotify.com/v1/tracks/5B0gYfKD10F24kzbAEhgEs,https://api.spotify.com/v1/audio-analysis/5B0gYfKD10F24kzbAEhgEs,271200,4
19,3R73Y7X53MIQZWnKloWq5i,Monte Carlo (feat. WET),Toro y Moi,søndag,0.653,0.381,1,-8.967,1,0.0512,0.0821,7.29e-05,0.175,0.133,140.08,audio_features,spotify:track:3R73Y7X53MIQZWnKloWq5i,https://api.spotify.com/v1/tracks/3R73Y7X53MIQZWnKloWq5i,https://api.spotify.com/v1/audio-analysis/3R73Y7X53MIQZWnKloWq5i,125133,4
20,7qbiv0tWyEdpraOsEUkxpc,Infinite Games,Zola Blood,søndag,0.51,0.497,7,-9.823,1,0.0396,0.188,0.849,0.126,0.152,111.095,audio_features,spotify:track:7qbiv0tWyEdpraOsEUkxpc,https://api.spotify.com/v1/tracks/7qbiv0tWyEdpraOsEUkxpc,https://api.spotify.com/v1/audio-analysis/7qbiv0tWyEdpraOsEUkxpc,280600,4
21,3ygql6KR9wduUOiOMo1xCC,Cut My Hair,Mounika.,søndag,0.824,0.296,10,-13.56,1,0.138,0.316,0.0115,0.0742,0.287,75.008,audio_features,spotify:track:3ygql6KR9wduUOiOMo1xCC,https://api.spotify.com/v1/tracks/3ygql6KR9wduUOiOMo1xCC,https://api.spotify.com/v1/audio-analysis/3ygql6KR9wduUOiOMo1xCC,127138,4
22,1MD2yGSeBRALkMui1fZ05P,anemone,slenderbodies,søndag,0.854,0.631,11,-8.197,0,0.0452,0.884,0.00999,0.202,0.609,119.986,audio_features,spotify:track:1MD2yGSeBRALkMui1fZ05P,https://api.spotify.com/v1/tracks/1MD2yGSeBRALkMui1fZ05P,https://api.spotify.com/v1/audio-analysis/1MD2yGSeBRALkMui1fZ05P,228062,4
23,6XrWatmV4oKg4d4fskOG2e,mirage,slenderbodies,søndag,0.724,0.612,6,-10.912,0,0.15,0.232,1.83e-05,0.183,0.839,161.97,audio_features,spotify:track:6XrWatmV4oKg4d4fskOG2e,https://api.spotify.com/v1/tracks/6XrWatmV4oKg4d4fskOG2e,https://api.spotify.com/v1/audio-analysis/6XrWatmV4oKg4d4fskOG2e,191759,4
24,3BhiSz6DdKV8O6Iy0rKj6a,Hallucinogenics - Vallis Alps Remix,Matt Maeson,søndag,0.782,0.47,0,-10.876,1,0.154,0.897,0.0331,0.107,0.229,122.019,audio_features,spotify:track:3BhiSz6DdKV8O6Iy0rKj6a,https://api.spotify.com/v1/tracks/3BhiSz6DdKV8O6Iy0rKj6a,https://api.spotify.com/v1/audio-analysis/3BhiSz6DdKV8O6Iy0rKj6a,190016,4
25,5JRMqkR82k2fdDEAim9SCN,Peach,Kevin Abstract,søndag,0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,0.107,0.421,131.895,audio_features,spotify:track:5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/tracks/5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/audio-analysis/5JRMqkR82k2fdDEAim9SCN,176732,4
26,1HH74T0lQrV21hkc5KmPZ5,Mulholland,James Blake,søndag,0.46,0.512,1,-12.602,1,0.0514,0.556,0.472,0.148,0.266,110.688,audio_features,spotify:track:1HH74T0lQrV21hkc5KmPZ5,https://api.spotify.com/v1/tracks/1HH74T0lQrV21hkc5KmPZ5,https://api.spotify.com/v1/audio-analysis/1HH74T0lQrV21hkc5KmPZ5,190541,4
27,3N5r5U4CNb6guBuQwTFcOM,Meeting Faro,Jadu Heart,søndag,0.607,0.396,4,-11.956,0,0.0636,0.651,0.0677,0.47,0.182,124.905,audio_features,spotify:track:3N5r5U4CNb6guBuQwTFcOM,https://api.spotify.com/v1/tracks/3N5r5U4CNb6guBuQwTFcOM,https://api.spotify.com/v1/audio-analysis/3N5r5U4CNb6guBuQwTFcOM,201600,4
28,0cVquG5bipDxlQ8rLbX52d,Malibu Sleep,Col3trane,søndag,0.886,0.414,8,-10.227,0,0.202,0.4,0.00026,0.11,0.535,114.046,audio_features,spotify:track:0cVquG5bipDxlQ8rLbX52d,https://api.spotify.com/v1/tracks/0cVquG5bipDxlQ8rLbX52d,https://api.spotify.com/v1/audio-analysis/0cVquG5bipDxlQ8rLbX52d,189473,4
29,7JJinw17P46NEPXimuRkvt,Welcome State,Elder Island,søndag,0.666,0.432,6,-8.788,1,0.0323,0.334,0.0289,0.11,0.297,95.985,audio_features,spotify:track:7JJinw17P46NEPXimuRkvt,https://api.spotify.com/v1/tracks/7JJinw17P46NEPXimuRkvt,https://api.spotify.com/v1/audio-analysis/7JJinw17P46NEPXimuRkvt,270476,4
30,0T3AyN1HbAlRScx2hTMScG,I'll Come Too,James Blake,søndag,0.661,0.472,7,-7.889,1,0.164,0.757,0.00275,0.192,0.206,73.986,audio_features,spotify:track:0T3AyN1HbAlRScx2hTMScG,https://api.spotify.com/v1/tracks/0T3AyN1HbAlRScx2hTMScG,https://api.spotify.com/v1/audio-analysis/0T3AyN1HbAlRScx2hTMScG,222400,4
31,0Q3HFb2L0Ydh8cFxM36Ltg,Can't Believe The Way We Flow,James Blake,søndag,0.259,0.536,8,-10.309,1,0.0367,0.705,0.000501,0.432,0.29,143.948,audio_features,spotify:track:0Q3HFb2L0Ydh8cFxM36Ltg,https://api.spotify.com/v1/tracks/0Q3HFb2L0Ydh8cFxM36Ltg,https://api.spotify.com/v1/audio-analysis/0Q3HFb2L0Ydh8cFxM36Ltg,267200,4
32,69sxo1DMPHgsJs1KA5OMRh,Into The Red,James Blake,søndag,0.508,0.47,1,-9.011,1,0.0347,0.586,0.0556,0.134,0.151,173.838,audio_features,spotify:track:69sxo1DMPHgsJs1KA5OMRh,https://api.spotify.com/v1/tracks/69sxo1DMPHgsJs1KA5OMRh,https://api.spotify.com/v1/audio-analysis/69sxo1DMPHgsJs1KA5OMRh,257200,4
33,16DHWSDlEa5K0JbMHnuMXM,Stay Right Here,Saba,søndag,0.752,0.536,9,-7.444,0,0.452,0.132,0.0,0.281,0.628,129.93,audio_features,spotify:track:16DHWSDlEa5K0JbMHnuMXM,https://api.spotify.com/v1/tracks/16DHWSDlEa5K0JbMHnuMXM,https://api.spotify.com/v1/audio-analysis/16DHWSDlEa5K0JbMHnuMXM,210133,4
34,6pxElwU80zhjbCC77Vn8EI,Movie,Tom Misch,søndag,0.785,0.379,7,-11.446,1,0.0732,0.391,0.0161,0.267,0.182,122.043,audio_features,spotify:track:6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/tracks/6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/audio-analysis/6pxElwU80zhjbCC77Vn8EI,357357,3
35,4Odd8r0XLz76mTrCX9Z37i,Forest Green,Kyson,søndag,0.616,0.315,6,-11.982,1,0.0429,0.475,0.0948,0.112,0.0956,104.026,audio_features,spotify:track:4Odd8r0XLz76mTrCX9Z37i,https://api.spotify.com/v1/tracks/4Odd8r0XLz76mTrCX9Z37i,https://api.spotify.com/v1/audio-analysis/4Odd8r0XLz76mTrCX9Z37i,189435,4
36,04ToULF2xWTbVtfAUk6K7P,Pressure (with SG Lewis),James Vickery,søndag,0.682,0.574,4,-5.241,0,0.0519,0.0355,0.000131,0.254,0.731,93.481,audio_features,spotify:track:04ToULF2xWTbVtfAUk6K7P,https://api.spotify.com/v1/tracks/04ToULF2xWTbVtfAUk6K7P,https://api.spotify.com/v1/audio-analysis/04ToULF2xWTbVtfAUk6K7P,169412,4
37,6tBhtdAEIGEacpqUZTk72s,Quiero,Divino Niño,søndag,0.638,0.471,4,-11.995,0,0.063,0.0905,1.2e-06,0.0923,0.688,125.599,audio_features,spotify:track:6tBhtdAEIGEacpqUZTk72s,https://api.spotify.com/v1/tracks/6tBhtdAEIGEacpqUZTk72s,https://api.spotify.com/v1/audio-analysis/6tBhtdAEIGEacpqUZTk72s,191630,4
38,6hNP5kgSeku62HJnOimaR6,Melty Caramelo,Divino Niño,søndag,0.587,0.495,11,-12.166,0,0.0413,0.0821,0.0109,0.0426,0.968,154.013,audio_features,spotify:track:6hNP5kgSeku62HJnOimaR6,https://api.spotify.com/v1/tracks/6hNP5kgSeku62HJnOimaR6,https://api.spotify.com/v1/audio-analysis/6hNP5kgSeku62HJnOimaR6,236637,4
39,6ynV2emy4N0uYVWr5FjVAy,Contact,Pyramid,søndag,0.794,0.371,0,-13.346,0,0.0421,0.923,0.551,0.0871,0.294,128.027,audio_features,spotify:track:6ynV2emy4N0uYVWr5FjVAy,https://api.spotify.com/v1/tracks/6ynV2emy4N0uYVWr5FjVAy,https://api.spotify.com/v1/audio-analysis/6ynV2emy4N0uYVWr5FjVAy,205307,4
40,4TxuAw6GMHFPMv6NQeXm6l,Cool to You,Teenage Priest,søndag,0.623,0.642,1,-6.199,0,0.0308,0.0583,0.0148,0.288,0.584,171.027,audio_features,spotify:track:4TxuAw6GMHFPMv6NQeXm6l,https://api.spotify.com/v1/tracks/4TxuAw6GMHFPMv6NQeXm6l,https://api.spotify.com/v1/audio-analysis/4TxuAw6GMHFPMv6NQeXm6l,197888,4
41,5A9ctUIDmzvkhFswdZuEuL,Topanga,Goth Babe,søndag,0.365,0.819,5,-9.178,1,0.48,0.00177,0.00229,0.274,0.45,159.602,audio_features,spotify:track:5A9ctUIDmzvkhFswdZuEuL,https://api.spotify.com/v1/tracks/5A9ctUIDmzvkhFswdZuEuL,https://api.spotify.com/v1/audio-analysis/5A9ctUIDmzvkhFswdZuEuL,228051,4
42,4ckXJt0WEgvrIjIvXCzwQI,Hold On,DRAMA,søndag,0.72,0.634,0,-8.701,1,0.0392,0.00284,0.63,0.0973,0.602,115.014,audio_features,spotify:track:4ckXJt0WEgvrIjIvXCzwQI,https://api.spotify.com/v1/tracks/4ckXJt0WEgvrIjIvXCzwQI,https://api.spotify.com/v1/audio-analysis/4ckXJt0WEgvrIjIvXCzwQI,204266,4
43,5mIOsPuQdXchVY0jB5NO9Q,4EVER,Clairo,søndag,0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,audio_features,spotify:track:5mIOsPuQdXchVY0jB5NO9Q,https://api.spotify.com/v1/tracks/5mIOsPuQdXchVY0jB5NO9Q,https://api.spotify.com/v1/audio-analysis/5mIOsPuQdXchVY0jB5NO9Q,159595,4
44,1arEFIGFihaStHQSBQAyVL,Changes,Antonio Williams,søndag,0.716,0.697,7,-8.409,1,0.0259,0.00846,0.144,0.229,0.85,111.999,audio_features,spotify:track:1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/tracks/1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/audio-analysis/1arEFIGFihaStHQSBQAyVL,246464,4
45,5GA7lb2ezcO3K8YAuJ2eq6,ruminate,slenderbodies,søndag,0.868,0.541,7,-10.215,0,0.102,0.461,0.0116,0.0831,0.592,99.006,audio_features,spotify:track:5GA7lb2ezcO3K8YAuJ2eq6,https://api.spotify.com/v1/tracks/5GA7lb2ezcO3K8YAuJ2eq6,https://api.spotify.com/v1/audio-analysis/5GA7lb2ezcO3K8YAuJ2eq6,193773,4
46,6UFivO2zqqPFPoQYsEMuCc,Bags,Clairo,søndag,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,spotify:track:6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc,260520,4
47,1ME0C8xm5YmInbok1znS9W,amelia,Seb Wildblood,søndag,0.708,0.36,2,-11.54,1,0.0345,0.0531,0.783,0.122,0.626,110.017,audio_features,spotify:track:1ME0C8xm5YmInbok1znS9W,https://api.spotify.com/v1/tracks/1ME0C8xm5YmInbok1znS9W,https://api.spotify.com/v1/audio-analysis/1ME0C8xm5YmInbok1znS9W,261747,4
48,45PxuJqJBnPXZKLxoo9Apj,SUPERPOSITION,Daniel Caesar,søndag,0.589,0.279,4,-11.209,1,0.0408,0.911,0.000128,0.087,0.333,115.656,audio_features,spotify:track:45PxuJqJBnPXZKLxoo9Apj,https://api.spotify.com/v1/tracks/45PxuJqJBnPXZKLxoo9Apj,https://api.spotify.com/v1/audio-analysis/45PxuJqJBnPXZKLxoo9Apj,263795,4
49,0OWIlMEYBhIx3mJSX09WMO,Flowers for All Occasions,Blood Cultures,søndag,0.508,0.628,9,-6.406,1,0.0452,0.0246,0.204,0.111,0.223,123.955,audio_features,spotify:track:0OWIlMEYBhIx3mJSX09WMO,https://api.spotify.com/v1/tracks/0OWIlMEYBhIx3mJSX09WMO,https://api.spotify.com/v1/audio-analysis/0OWIlMEYBhIx3mJSX09WMO,294990,4
50,795p3jKj5stjPf8IFpZkdD,ENTROPY,Daniel Caesar,søndag,0.642,0.527,2,-9.444,1,0.0534,0.808,4.28e-05,0.154,0.566,133.062,audio_features,spotify:track:795p3jKj5stjPf8IFpZkdD,https://api.spotify.com/v1/tracks/795p3jKj5stjPf8IFpZkdD,https://api.spotify.com/v1/audio-analysis/795p3jKj5stjPf8IFpZkdD,261291,4
51,4tprBg1FpCBNkWboh1S0YU,Petit garçon,Miel De Montagne,søndag,0.741,0.758,5,-8.791,1,0.0357,0.146,0.693,0.112,0.0454,122.004,audio_features,spotify:track:4tprBg1FpCBNkWboh1S0YU,https://api.spotify.com/v1/tracks/4tprBg1FpCBNkWboh1S0YU,https://api.spotify.com/v1/audio-analysis/4tprBg1FpCBNkWboh1S0YU,204798,4
